,Min,Max,Mean,Median
RMSE,0.10879789672677505,0.23455304694496965,0.14815985689693545,0.1383940866666678
Rel_RMSE,-93.14265226406356,345.1850330529982,36.262898015464586,16.59768359563999
NSE,-0.041069746017456055,0.7938793748617172,0.4975216072052717,0.5629373490810394
R2,-0.04106966822292879,0.7938793732856287,0.49752161271848905,0.5629373137331128
MAE,0.077660985,0.17076424,0.10614586,0.10109128
"RMSE
Extremes",0.19684137,0.43207204,0.26642036,0.23582616
"Rel RMSE
Extremes",-139.92392,624.52216,70.220474,30.299316
Precision,0.34185733512786004,0.7820895522388059,0.6276757623045075,0.6926776358873608
Recall,0.2899543378995434,0.6974885844748858,0.4737442922374429,0.47659817351598177
F1,0.3137739345274861,0.7146198830409357,0.5374441715642738,0.5483365570599613
